asset_name,asset_type,source_url,license,status,notes
s01_b_roll_01.mp4,stock_video,,manual-source-needed,manual_needed,Add source URL or license details before final edit.
s02_generated_graphic_01.svg,generated_graphic,,manual-source-needed,planned,Add source URL or license details before final edit.
s02_fact_card_01.svg,generated_graphic,local-generated,project-original,generated,Generated locally or source recorded.
s02_map_01.svg,map,,manual-source-needed,planned,Add source URL or license details before final edit.
s03_generated_graphic_01.svg,generated_graphic,,manual-source-needed,planned,Add source URL or license details before final edit.
s03_fact_card_01.svg,generated_graphic,local-generated,project-original,generated,Generated locally or source recorded.
s04_b_roll_01.mp4,stock_video,,manual-source-needed,manual_needed,Add source URL or license details before final edit.
s05_source_card_01.mp4,document,,manual-source-needed,planned,Add source URL or license details before final edit.
s05_fact_card_01.svg,generated_graphic,local-generated,project-original,generated,Generated locally or source recorded.
s05_public_doc_01.png,document,,source-required,missing_source,Add source URL or license details before final edit.
s06_source_card_01.mp4,document,,manual-source-needed,planned,Add source URL or license details before final edit.
s06_fact_card_01.svg,generated_graphic,local-generated,project-original,generated,Generated locally or source recorded.
s07_generated_graphic_01.svg,generated_graphic,,manual-source-needed,planned,Add source URL or license details before final edit.
s07_fact_card_01.svg,generated_graphic,local-generated,project-original,generated,Generated locally or source recorded.
s07_map_01.svg,map,,manual-source-needed,planned,Add source URL or license details before final edit.
narration_timing_overview.svg,chart,local-generated,project-original,generated,Generated locally or source recorded.
